Weights: Aggregate Height, Bumpiness, Holes, LinesCleared, Total Height.
 Mutation Rate: 0.05 , Replacement Per Cycle: 70

Generation: 0,  Sequence Type: random, Cycle Time: 0:18:32.755000  Elite Average Lines Cleared in 5 Games: 21
Marilyn Brandt, Age: 0 Weights: [-0.9641071827237908, -0.590394112132731, -0.4599631525143686, 0.605533030893654, -0.9373801148027909, -0.6254282292850257, 0.2449020873936587, -0.3675446601430441, -0.14256485568340138, 0.264988590080502, -0.9592025174412899, 0.0821977303935375, 0.8508489477294088] - Lines Cleared:111
Eddie Price, Age: 0 Weights: [-0.8782586958447589, -0.3875033116728168, -0.7705254183739869, -0.935240554153492, -0.2874094881115339, -0.3228482773671304, 0.7645577292264609, -0.3361291008577154, -0.8413297100009318, -0.8559972082033693, -0.21101684700169665, -0.5161842650339981, 0.07713179490804101] - Lines Cleared:90
Harriet Kulig, Age: 0 Weights: [-0.6979459223969309, -0.5626810605547847, 0.08678729748314296, 0.9471754293648431, -0.6231106811630915, -0.9323801116455779, -0.7217555860076159, 0.1532214919679824, 0.27052224015932125, -0.44517557426079435, -0.7190102195810901, 0.0040063337754194794, -0.739604413515673] - Lines Cleared:64
Mario Hobson, Age: 0 Weights: [0.022088134683471816, -0.3043104108670027, -0.14811802975471, -0.43334849084851834, -0.9076240332220185, -0.0624346846247259, -0.7808098869985598, -0.42343423417156867, -0.021259848715521557, 0.29701087463046005, -0.19474298491522046, 0.8940073864797848, 0.8884589920369712] - Lines Cleared:56
Emily Proulx, Age: 0 Weights: [0.16008853083771601, -0.02614305675172779, -0.652888211043058, -0.31652648367783254, 0.1312099460070113, 0.07971201327128852, -0.8890799570468337, -0.17974192965026559, -0.49146946977105355, -0.9884509081332111, 0.4723001598044152, -0.44252882511036895, -0.6512580846418614] - Lines Cleared:54
Frank Carter, Age: 0 Weights: [-0.5586466988804994, -0.9170557779035688, -0.5732994793432311, -0.6006279883325192, -0.8411005534702403, -0.3891590826763458, -0.26797466720764773, -0.3852794697116706, 0.8524806598659305, 0.6300804316664024, 0.2543458993724035, -0.11232680713617782, 0.6380025995134817] - Lines Cleared:43
Alvin Kohnen, Age: 0 Weights: [0.3559205528379814, -0.6642973663986815, -0.775259355995606, 0.9725287015757758, -0.38149608442737426, -0.15229406338042195, 0.21289352667835426, -0.47326703475609033, 0.8177636044335745, 0.8768958625404155, 0.9922165288153117, -0.6436624903634152, 0.21561115963453936] - Lines Cleared:27
Melva Johnson, Age: 0 Weights: [-0.8356731733540619, -0.6191891597222197, -0.313409390545647, -0.7964371521058173, -0.7541084573327848, 0.33349304050393735, 0.7184659194509628, -0.4788548930602332, 0.9935068220227967, 0.8870287528511418, 0.6528767461994918, -0.14726812454782734, -0.6788866367023871] - Lines Cleared:23
Bessie Glaab, Age: 0 Weights: [-0.20335786095555353, -0.3867703265334117, 0.4415454104922816, 0.95544890072799, -0.8343401604268337, -0.35879651917392863, 0.8528795211977791, -0.22701202856810476, -0.23186802806234597, -0.12886739493718724, 0.33604386570600275, 0.5380055967808592, -0.5845869521705209] - Lines Cleared:21
Shannon Baxter, Age: 0 Weights: [-0.8266313161771202, -0.42114362088551216, 0.46380088499147787, 0.5426952569648067, -0.15423198267083094, 0.8951491179129494, -0.8425249577830762, -0.8233021800793796, -0.23230411024589892, -0.6043017774550912, -0.43163160643549325, -0.5405202011296393, -0.7038207695745367] - Lines Cleared:19
Beatrice Russell, Age: 0 Weights: [0.33318167399163134, -0.8752792143790962, -0.6559051834575265, 0.5751757447083627, 0.37740425338701167, -0.06770527284101235, -0.5854996636520251, -0.07005121763576283, -0.22600478336918428, -0.6677175925059566, 0.3525963867264872, -0.5513185671830438, -0.6270133171108081] - Lines Cleared:18
Willa Linscott, Age: 0 Weights: [-0.08293251719913619, -0.16012484155724094, 0.13191594925095473, -0.4852673219731818, 0.2653884194815923, -0.8522298388693998, 0.5939993970521489, -0.806557450606078, -0.9083687561911169, 0.42730820850816253, -0.3690034829665132, 0.054875661390779706, -0.8020469494743605] - Lines Cleared:15
Mary Cote, Age: 0 Weights: [0.036482907011799126, -0.4300195159141542, -0.4034008812302523, -0.7695254320176621, 0.7912796905190169, -0.32738033269919664, 0.3808553412226374, -0.7362219011797342, 0.44008292734721155, 0.5104249763107156, 0.24409498122883533, 0.052598674170458715, 0.21141055374061057] - Lines Cleared:14
Elizabeth Caruso, Age: 0 Weights: [-0.3546227806386799, -0.12172726904595188, -0.43264812307316847, 0.9450814042078843, 0.510228901904179, -0.015450228572104319, -0.417603762162601, -0.42606355024436615, 0.6741726863069086, 0.4796418174465269, 0.7518652962842625, -0.6473537291684437, -0.8525556430426917] - Lines Cleared:14
Jerry Galloway, Age: 0 Weights: [0.9510091320417331, -0.5109492135329783, 0.4059903955010742, 0.14086900634947752, -0.796207251081106, 0.4632754429634929, -0.7827714122049063, -0.7110400351355519, -0.25876647112996487, -0.5698719994988306, 0.5181502500940756, -0.11780738475318175, -0.18572334240815902] - Lines Cleared:9
Robert Schwab, Age: 0 Weights: [0.47805828845650855, -0.5050085770309178, -0.2865555336715444, 0.7683852915398866, -0.0681929934993235, -0.6716935138378759, 0.5463149459530388, -0.286554526087752, -0.7200598773412985, 0.8718334224650295, 0.7830187493696521, 0.7239835353331747, 0.8604285201704753] - Lines Cleared:9
