
 Cross Type: average, Selection Type: roulette, Crossover Rate: 1.0, Mutation Rate: 0.3 , Replacement Per Cycle: 90

Generation: 0,  Sequence Type: random, Cycle Time: 0:11:58.098000  Elite Average Lines Cleared in 3 Games: 70
Rodrick Morris, Age: 0 Weights: [-0.25835108880355967, -0.18873479853738032, -0.6081190254748627, -0.5281331622290867, -0.0936639080926526, -0.10826897335053938, 0.15010957868145391, -0.21161009827721672, -0.04113776799016001, 0.2957493369775496, -0.07093022881256028, -0.2586553756116776] - Lines Cleared:380
Crystal Vernon, Age: 0 Weights: [-0.021599041254740985, -0.10288806572668528, -0.2822581405476969, -0.2000035574291313, -0.363296095901522, -0.3435620227564066, 0.36906531908961415, -0.33424481336832457, 0.377693587157833, 0.22601752828402188, -0.4185015823981264, 0.04948516263016404] - Lines Cleared:81
Lorraine Chittum, Age: 0 Weights: [-0.49211800899225683, 0.020218331695459148, 0.12496320841292613, -0.32903148623041906, 0.011901085004380849, -0.09366641887692849, -0.3983403669857179, -0.3232024705134408, -0.20477807891202657, 0.2739808893313606, -0.2703661276533053, 0.4139881771637133] - Lines Cleared:62
George Coleman, Age: 0 Weights: [-0.401920615564423, -0.33476403902297386, -0.34554365036935275, 0.18473107229693497, 0.005389982658240636, 0.06728934446185382, -0.13441429787100323, -0.3999860338930278, -0.024702639320500066, -0.39622518952230407, -0.39044340223475377, -0.2832018069433202] - Lines Cleared:57
Autumn Ivan, Age: 0 Weights: [0.3369580053628361, 0.0845648317423803, -0.08839738443761043, -0.024309071422141858, -0.35000249200667605, 0.06613169693996561, -0.4865582364737864, -0.4984892237117015, -0.017328716120396295, -0.22520877620512494, -0.17594157379952471, 0.4205030074375222] - Lines Cleared:36
James Williams, Age: 0 Weights: [-0.16263406019356255, 0.05423871010086563, -0.12073172757442376, -0.42286375537335785, -0.22794440754102804, -0.033456256549131966, -0.35728654639114443, -0.19611585752529578, 0.45213434754157517, -0.4038377386985489, -0.4255964587538966, -0.09686385381359362] - Lines Cleared:30
Angela Vesey, Age: 0 Weights: [-0.30552040124847946, -0.43757433337592033, -0.10967539501400872, 0.13651960275645494, 0.298738453939133, 0.29185898798242604, 0.37137138892663124, -0.47572645523430096, 0.20244050409583014, 0.19915766979605087, -0.03181520422686191, -0.253382811522421] - Lines Cleared:17
Andrew Wright, Age: 0 Weights: [-0.2911563755996982, -0.3005254897160214, 0.45332430653442213, 0.2931167331580718, -0.006063562318332045, -0.006065950542685897, 0.09403732186971629, -0.21581034467221086, -0.3037312846359071, 0.42276348969711286, -0.36356466281460104, -0.27356980457558233] - Lines Cleared:16
Elizabeth Coffey, Age: 0 Weights: [-0.2901467177261188, 0.23733455056041244, -0.327298256005088, -0.03488228219627324, -0.4301293723584418, 0.11880178389469505, 0.4409038406080483, -0.29622552472020175, 0.05152317623011812, 0.061363583505575706, -0.3404357038728032, 0.38413380062978447] - Lines Cleared:15
Mary Hopkins, Age: 0 Weights: [-0.234467087408647, -0.6697323090707011, 0.12570238780931103, 0.04736660941873623, -0.36846911684990347, 0.2787280052493616, -0.27118923871739875, -0.11460876193108302, -0.06331854370344056, -0.2993653315125886, -0.24528711458571822, 0.1565469972885315] - Lines Cleared:12
Blanca Simmons, Age: 0 Weights: [0.27784798157621804, 0.13829962956340514, -0.26070331850569933, 0.17327219835259916, -0.16361231980561744, -0.28859973033710895, -0.17762337986856788, -0.23217192664078268, -0.306921472199558, -0.344042308734195, 0.4394374850180311, -0.45221717008611506] - Lines Cleared:12
Christine Lopez, Age: 0 Weights: [-0.3513373738711824, -0.16394173456852665, 0.43181482950149386, -0.32123939435903087, -0.3581856937875511, 0.09706050866103495, -0.11848919474324408, -0.15870763178894956, -0.4260067342510621, 0.06923369223117622, -0.43254217963943553, -0.09855479568942975] - Lines Cleared:11
John Reynolds, Age: 0 Weights: [0.4604916555560954, -0.19947844260101652, -0.4607310323878202, -0.3979665929451446, -0.12316348603638763, -0.2633860441850783, -0.12663649699626203, 0.020931731715657965, 0.2671752050092777, -0.11634630117189963, -0.3040739646213864, -0.3148156167318674] - Lines Cleared:8
Randall Ganison, Age: 0 Weights: [-0.2755493089307557, -0.20908392885610144, 0.385949898163886, 0.30224149371374115, 0.11620392449176573, -0.017894174103747322, -0.2630853462643882, -0.3867718792792152, 0.4119789903170262, 0.4049313601817827, -0.05771616654766735, 0.26531500950797543] - Lines Cleared:6
Thomas Leek, Age: 0 Weights: [-0.3346209614709397, 0.29093293491771494, -0.18817735269946115, -0.3882212148330283, 0.23945894548374155, -0.3181477407541043, 0.031146223030800453, -0.3274366640506367, 0.3812186641535571, 0.19207590313585443, -0.3955769730800549, 0.10869691817408392] - Lines Cleared:6
Adelia Kean, Age: 0 Weights: [-0.2202149886807008, -0.01859697315488226, -0.4957700872652921, 0.3186761023147779, 0.06378629588204926, -0.5175777049755319, 0.43743460518742455, -0.11000149618303039, -0.1883325461702687, -0.19301523099811643, 0.18045503955914782, 0.1520667283848144] - Lines Cleared:5
Mabel Williams, Age: 0 Weights: [0.3195978176389925, -0.3403218478532514, -0.3587926771327114, 0.3842082748452166, -0.2827390279734564, -0.252253057615828, -0.3316547771086861, 0.08823541832100117, -0.18006253505059414, 0.2515774251701059, 0.19802735230837884, 0.33076910122169706] - Lines Cleared:5
